"Time","sea shanty"
"2020-11-01",2
"2020-11-08",2
"2020-11-15",2
"2020-11-22",2
"2020-11-29",2
"2020-12-06",3
"2020-12-13",3
"2020-12-20",2
"2020-12-27",4
"2021-01-03",5
"2021-01-10",60
"2021-01-17",100
"2021-01-24",81
"2021-01-31",53
"2021-02-07",35
"2021-02-14",35
"2021-02-21",33
"2021-02-28",32
"2021-03-07",46
"2021-03-14",45
"2021-03-21",31
"2021-03-28",28
"2021-04-04",24
"2021-04-11",22
"2021-04-18",20
"2021-04-25",21
