"Time","corn kid"
"2022-07-31",1
"2022-08-07",2
"2022-08-14",2
"2022-08-21",23
"2022-08-28",53
"2022-09-04",48
"2022-09-11",28
"2022-09-18",25
"2022-09-25",100
"2022-10-02",42
"2022-10-09",22
"2022-10-16",19
"2022-10-23",19
"2022-10-30",10
"2022-11-06",9
"2022-11-13",8
"2022-11-20",15
"2022-11-27",6
"2022-12-04",5
"2022-12-11",5
"2022-12-18",5
"2022-12-25",7
"2023-01-01",5
